feature,importance
station_hour_mean,0.7705763569085099
lag7,0.12641233727301493
rolling_mean_7d,0.04429439665280276
hour,0.01859738391334465
dow,0.011917874560129034
lag1,0.011297226422670174
is_red,0.010002044897649437
정류장순번,0.006902379371879109
